"timestamp","backend_pid","backend_cpu_pct","backend_rss_mb","backend_threads","ui_pid","ui_cpu_pct","ui_rss_mb","ui_threads","queue_depth","delayed_depth","pending_dispatches","pending_receipts","ws_message_subscribers","ws_telemetry_subscribers","ws_event_subscribers","outbound_dropped_total","outbound_enqueued_total"
"2026-04-07T08:36:05.4298368-03:00","3672",,"135.77","21","22964",,"80.82","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:07.6075650-03:00","3672","1.17","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:09.6427706-03:00","3672","0.86","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:11.6811596-03:00","3672","0.48","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:13.7242902-03:00","3672","1.05","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:15.7579189-03:00","3672","1.34","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:17.7787619-03:00","3672","1.64","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:19.8010657-03:00","3672","1.35","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:21.8357807-03:00","3672","1.25","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:23.8643862-03:00","3672","0.77","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:25.8875121-03:00","3672","0.48","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:27.9171340-03:00","3672","1.25","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:29.9388403-03:00","3672","1.26","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:31.9654008-03:00","3672","1.35","135.91","22","22964","0","80.91","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:33.9921557-03:00","3672","0.96","136.04","22","22964","0","80.92","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:36.0122354-03:00","3672","1.26","136.21","22","22964","0","80.92","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:38.0443601-03:00","3672","0.58","136.33","22","22964","0","80.92","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:40.0774212-03:00","3672","1.15","137.04","22","22964","0","80.92","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:42.1027385-03:00","3672","0.58","137.18","22","22964","0","80.93","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:44.1366390-03:00","3672","0.77","137.31","22","22964","0","80.94","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:46.1670121-03:00","3672","1.15","137.49","22","22964","0","80.95","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:48.1985853-03:00","3672","1.35","137.66","22","22964","0","80.95","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:50.2318711-03:00","3672","1.25","137.8","22","22964","0","80.96","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:52.2630835-03:00","3672","1.44","137.96","22","22964","0","80.97","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:54.2863678-03:00","3672","0.97","138.12","22","22964","0","80.98","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:56.3099595-03:00","3672","1.35","138.29","22","22964","0","80.98","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:36:58.3392163-03:00","3672","1.35","138.47","22","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:00.3706812-03:00","3672","1.54","138.63","22","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:02.3945063-03:00","3672","0.87","138.8","22","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:04.4166126-03:00","3672","0.77","138.95","22","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:06.4425017-03:00","3672","0.77","139.11","22","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:08.4681099-03:00","3672","0.96","139.26","21","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:10.4898520-03:00","3672","0.77","139.42","21","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:12.5139934-03:00","3672","0.87","139.57","21","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:14.5367682-03:00","3672","0.58","139.71","22","22964","0","81.06","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:16.5583370-03:00","3672","0","139.71","22","22964","0","81.12","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:18.5793879-03:00","3672","0","139.68","20","22964","0","81.12","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:20.5991535-03:00","3672","0","139.68","20","22964","0","81.12","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:22.6279125-03:00","3672","0","139.68","20","22964","0","81.13","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:24.6582834-03:00","3672","0","139.68","20","22964","0","81.13","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:26.6858861-03:00","3672","0","139.69","20","22964","0","81.13","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:28.7084857-03:00","3672","0.1","139.69","20","22964","0","81.13","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:30.7404609-03:00","3672","0","139.69","20","22964","0","81.13","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:32.7642405-03:00","3672","0.48","139.69","20","22964","0","81.13","14","0","0","0","0","0.0","0.0","0.0",,
"2026-04-07T08:37:34.7830920-03:00","3672","0","139.65","18","22964","0","81.19","14","0","0","0","0","0.0","0.0","0.0",,
